Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,0,0,Americas
,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0,0,Americas
,Bahamas,25.025885,-78.035889,2020-01-22,0,0,0,0,Americas
,Barbados,13.1939,-59.5432,2020-01-22,0,0,0,0,Americas
,Bolivia,-16.2902,-63.5887,2020-01-22,0,0,0,0,Americas
,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,0,Americas
Alberta,Canada,53.9333,-116.5765,2020-01-22,0,0,0,0,Americas
British Columbia,Canada,53.7267,-127.6476,2020-01-22,0,0,0,0,Americas
Manitoba,Canada,53.7609,-98.8139,2020-01-22,0,0,0,0,Americas
New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0,0,0,0,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0,0,0,0,Americas
Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-22,0,0,0,0,Americas
Ontario,Canada,51.2538,-85.3232,2020-01-22,0,0,0,0,Americas
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0,0,0,0,Americas
Quebec,Canada,52.9399,-73.5491,2020-01-22,0,0,0,0,Americas
Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0,0,0,0,Americas
,Chile,-35.6751,-71.543,2020-01-22,0,0,0,0,Americas
,Colombia,4.5709,-74.2973,2020-01-22,0,0,0,0,Americas
,Costa Rica,9.7489,-83.7534,2020-01-22,0,0,0,0,Americas
,Cuba,21.521757,-77.78116700000002,2020-01-22,0,0,0,0,Americas
,Dominican Republic,18.7357,-70.1627,2020-01-22,0,0,0,0,Americas
,Ecuador,-1.8312,-78.1834,2020-01-22,0,0,0,0,Americas
,El Salvador,13.7942,-88.8965,2020-01-22,0,0,0,0,Americas
,Guatemala,15.7835,-90.2308,2020-01-22,0,0,0,0,Americas
,Guyana,4.860416000000002,-58.93018000000001,2020-01-22,0,0,0,0,Americas
,Haiti,18.9712,-72.2852,2020-01-22,0,0,0,0,Americas
,Honduras,15.2,-86.2419,2020-01-22,0,0,0,0,Americas
,Jamaica,18.1096,-77.2975,2020-01-22,0,0,0,0,Americas
,Mexico,23.6345,-102.5528,2020-01-22,0,0,0,0,Americas
,Nicaragua,12.865416,-85.207229,2020-01-22,0,0,0,0,Americas
,Panama,8.538,-80.7821,2020-01-22,0,0,0,0,Americas
,Paraguay,-23.4425,-58.4438,2020-01-22,0,0,0,0,Americas
,Peru,-9.19,-75.0152,2020-01-22,0,0,0,0,Americas
,Saint Lucia,13.9094,-60.9789,2020-01-22,0,0,0,0,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-22,0,0,0,0,Americas
,Suriname,3.9193,-56.0278,2020-01-22,0,0,0,0,Americas
,Trinidad and Tobago,10.6918,-61.2225,2020-01-22,0,0,0,0,Americas
,Uruguay,-32.5228,-55.7658,2020-01-22,0,0,0,0,Americas
,US,40.0,-100.0,2020-01-22,1,0,0,1,Americas
,Venezuela,6.4238,-66.5897,2020-01-22,0,0,0,0,Americas
,Dominica,15.415,-61.371,2020-01-22,0,0,0,0,Americas
,Grenada,12.1165,-61.678999999999995,2020-01-22,0,0,0,0,Americas
,Belize,17.1899,-88.4976,2020-01-22,0,0,0,0,Americas
,Saint Kitts and Nevis,17.357822,-62.782998,2020-01-22,0,0,0,0,Americas
Northwest Territories,Canada,64.8255,-124.8457,2020-01-22,0,0,0,0,Americas
Yukon,Canada,64.2823,-135.0,2020-01-22,0,0,0,0,Americas
,Antigua and Barbuda,17.0608,-61.7964,2020-01-23,0,0,0,0,Americas
,Argentina,-38.4161,-63.6167,2020-01-23,0,0,0,0,Americas
,Bahamas,25.025885,-78.035889,2020-01-23,0,0,0,0,Americas
,Barbados,13.1939,-59.5432,2020-01-23,0,0,0,0,Americas
,Bolivia,-16.2902,-63.5887,2020-01-23,0,0,0,0,Americas
,Brazil,-14.235,-51.9253,2020-01-23,0,0,0,0,Americas
Alberta,Canada,53.9333,-116.5765,2020-01-23,0,0,0,0,Americas
British Columbia,Canada,53.7267,-127.6476,2020-01-23,0,0,0,0,Americas
Manitoba,Canada,53.7609,-98.8139,2020-01-23,0,0,0,0,Americas
New Brunswick,Canada,46.5653,-66.4619,2020-01-23,0,0,0,0,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-23,0,0,0,0,Americas
Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-23,0,0,0,0,Americas
Ontario,Canada,51.2538,-85.3232,2020-01-23,0,0,0,0,Americas
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-23,0,0,0,0,Americas
Quebec,Canada,52.9399,-73.5491,2020-01-23,0,0,0,0,Americas
Saskatchewan,Canada,52.9399,-106.4509,2020-01-23,0,0,0,0,Americas
,Chile,-35.6751,-71.543,2020-01-23,0,0,0,0,Americas
,Colombia,4.5709,-74.2973,2020-01-23,0,0,0,0,Americas
,Costa Rica,9.7489,-83.7534,2020-01-23,0,0,0,0,Americas
,Cuba,21.521757,-77.78116700000002,2020-01-23,0,0,0,0,Americas
,Dominican Republic,18.7357,-70.1627,2020-01-23,0,0,0,0,Americas
,Ecuador,-1.8312,-78.1834,2020-01-23,0,0,0,0,Americas
,El Salvador,13.7942,-88.8965,2020-01-23,0,0,0,0,Americas
,Guatemala,15.7835,-90.2308,2020-01-23,0,0,0,0,Americas
,Guyana,4.860416000000002,-58.93018000000001,2020-01-23,0,0,0,0,Americas
,Haiti,18.9712,-72.2852,2020-01-23,0,0,0,0,Americas
,Honduras,15.2,-86.2419,2020-01-23,0,0,0,0,Americas
,Jamaica,18.1096,-77.2975,2020-01-23,0,0,0,0,Americas
,Mexico,23.6345,-102.5528,2020-01-23,0,0,0,0,Americas
,Nicaragua,12.865416,-85.207229,2020-01-23,0,0,0,0,Americas
,Panama,8.538,-80.7821,2020-01-23,0,0,0,0,Americas
,Paraguay,-23.4425,-58.4438,2020-01-23,0,0,0,0,Americas
,Peru,-9.19,-75.0152,2020-01-23,0,0,0,0,Americas
,Saint Lucia,13.9094,-60.9789,2020-01-23,0,0,0,0,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-23,0,0,0,0,Americas
,Suriname,3.9193,-56.0278,2020-01-23,0,0,0,0,Americas
,Trinidad and Tobago,10.6918,-61.2225,2020-01-23,0,0,0,0,Americas
,Uruguay,-32.5228,-55.7658,2020-01-23,0,0,0,0,Americas
,US,40.0,-100.0,2020-01-23,1,0,0,1,Americas
,Venezuela,6.4238,-66.5897,2020-01-23,0,0,0,0,Americas
,Dominica,15.415,-61.371,2020-01-23,0,0,0,0,Americas
,Grenada,12.1165,-61.678999999999995,2020-01-23,0,0,0,0,Americas
,Belize,17.1899,-88.4976,2020-01-23,0,0,0,0,Americas
,Saint Kitts and Nevis,17.357822,-62.782998,2020-01-23,0,0,0,0,Americas
Northwest Territories,Canada,64.8255,-124.8457,2020-01-23,0,0,0,0,Americas
Yukon,Canada,64.2823,-135.0,2020-01-23,0,0,0,0,Americas
,Antigua and Barbuda,17.0608,-61.7964,2020-01-24,0,0,0,0,Americas
,Argentina,-38.4161,-63.6167,2020-01-24,0,0,0,0,Americas
,Bahamas,25.025885,-78.035889,2020-01-24,0,0,0,0,Americas
,Barbados,13.1939,-59.5432,2020-01-24,0,0,0,0,Americas
,Bolivia,-16.2902,-63.5887,2020-01-24,0,0,0,0,Americas
,Brazil,-14.235,-51.9253,2020-01-24,0,0,0,0,Americas
Alberta,Canada,53.9333,-116.5765,2020-01-24,0,0,0,0,Americas
British Columbia,Canada,53.7267,-127.6476,2020-01-24,0,0,0,0,Americas
Manitoba,Canada,53.7609,-98.8139,2020-01-24,0,0,0,0,Americas
New Brunswick,Canada,46.5653,-66.4619,2020-01-24,0,0,0,0,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-24,0,0,0,0,Americas
Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-24,0,0,0,0,Americas
Ontario,Canada,51.2538,-85.3232,2020-01-24,0,0,0,0,Americas
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-24,0,0,0,0,Americas
Quebec,Canada,52.9399,-73.5491,2020-01-24,0,0,0,0,Americas
Saskatchewan,Canada,52.9399,-106.4509,2020-01-24,0,0,0,0,Americas
,Chile,-35.6751,-71.543,2020-01-24,0,0,0,0,Americas
,Colombia,4.5709,-74.2973,2020-01-24,0,0,0,0,Americas
,Costa Rica,9.7489,-83.7534,2020-01-24,0,0,0,0,Americas
,Cuba,21.521757,-77.78116700000002,2020-01-24,0,0,0,0,Americas
,Dominican Republic,18.7357,-70.1627,2020-01-24,0,0,0,0,Americas
,Ecuador,-1.8312,-78.1834,2020-01-24,0,0,0,0,Americas
,El Salvador,13.7942,-88.8965,2020-01-24,0,0,0,0,Americas
,Guatemala,15.7835,-90.2308,2020-01-24,0,0,0,0,Americas
,Guyana,4.860416000000002,-58.93018000000001,2020-01-24,0,0,0,0,Americas
,Haiti,18.9712,-72.2852,2020-01-24,0,0,0,0,Americas
,Honduras,15.2,-86.2419,2020-01-24,0,0,0,0,Americas
,Jamaica,18.1096,-77.2975,2020-01-24,0,0,0,0,Americas
,Mexico,23.6345,-102.5528,2020-01-24,0,0,0,0,Americas
,Nicaragua,12.865416,-85.207229,2020-01-24,0,0,0,0,Americas
,Panama,8.538,-80.7821,2020-01-24,0,0,0,0,Americas
,Paraguay,-23.4425,-58.4438,2020-01-24,0,0,0,0,Americas
,Peru,-9.19,-75.0152,2020-01-24,0,0,0,0,Americas
,Saint Lucia,13.9094,-60.9789,2020-01-24,0,0,0,0,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-24,0,0,0,0,Americas
,Suriname,3.9193,-56.0278,2020-01-24,0,0,0,0,Americas
,Trinidad and Tobago,10.6918,-61.2225,2020-01-24,0,0,0,0,Americas
,Uruguay,-32.5228,-55.7658,2020-01-24,0,0,0,0,Americas
,US,40.0,-100.0,2020-01-24,2,0,0,2,Americas
,Venezuela,6.4238,-66.5897,2020-01-24,0,0,0,0,Americas
,Dominica,15.415,-61.371,2020-01-24,0,0,0,0,Americas
,Grenada,12.1165,-61.678999999999995,2020-01-24,0,0,0,0,Americas
,Belize,17.1899,-88.4976,2020-01-24,0,0,0,0,Americas
,Saint Kitts and Nevis,17.357822,-62.782998,2020-01-24,0,0,0,0,Americas
Northwest Territories,Canada,64.8255,-124.8457,2020-01-24,0,0,0,0,Americas
Yukon,Canada,64.2823,-135.0,2020-01-24,0,0,0,0,Americas
,Antigua and Barbuda,17.0608,-61.7964,2020-01-25,0,0,0,0,Americas
,Argentina,-38.4161,-63.6167,2020-01-25,0,0,0,0,Americas
,Bahamas,25.025885,-78.035889,2020-01-25,0,0,0,0,Americas
,Barbados,13.1939,-59.5432,2020-01-25,0,0,0,0,Americas
,Bolivia,-16.2902,-63.5887,2020-01-25,0,0,0,0,Americas
,Brazil,-14.235,-51.9253,2020-01-25,0,0,0,0,Americas
Alberta,Canada,53.9333,-116.5765,2020-01-25,0,0,0,0,Americas
British Columbia,Canada,53.7267,-127.6476,2020-01-25,0,0,0,0,Americas
Manitoba,Canada,53.7609,-98.8139,2020-01-25,0,0,0,0,Americas
New Brunswick,Canada,46.5653,-66.4619,2020-01-25,0,0,0,0,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-25,0,0,0,0,Americas
Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-25,0,0,0,0,Americas
Ontario,Canada,51.2538,-85.3232,2020-01-25,0,0,0,0,Americas
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-25,0,0,0,0,Americas
Quebec,Canada,52.9399,-73.5491,2020-01-25,0,0,0,0,Americas
Saskatchewan,Canada,52.9399,-106.4509,2020-01-25,0,0,0,0,Americas
,Chile,-35.6751,-71.543,2020-01-25,0,0,0,0,Americas
,Colombia,4.5709,-74.2973,2020-01-25,0,0,0,0,Americas
,Costa Rica,9.7489,-83.7534,2020-01-25,0,0,0,0,Americas
,Cuba,21.521757,-77.78116700000002,2020-01-25,0,0,0,0,Americas
,Dominican Republic,18.7357,-70.1627,2020-01-25,0,0,0,0,Americas
,Ecuador,-1.8312,-78.1834,2020-01-25,0,0,0,0,Americas
,El Salvador,13.7942,-88.8965,2020-01-25,0,0,0,0,Americas
,Guatemala,15.7835,-90.2308,2020-01-25,0,0,0,0,Americas
,Guyana,4.860416000000002,-58.93018000000001,2020-01-25,0,0,0,0,Americas
,Haiti,18.9712,-72.2852,2020-01-25,0,0,0,0,Americas
,Honduras,15.2,-86.2419,2020-01-25,0,0,0,0,Americas
,Jamaica,18.1096,-77.2975,2020-01-25,0,0,0,0,Americas
,Mexico,23.6345,-102.5528,2020-01-25,0,0,0,0,Americas
,Nicaragua,12.865416,-85.207229,2020-01-25,0,0,0,0,Americas
,Panama,8.538,-80.7821,2020-01-25,0,0,0,0,Americas
,Paraguay,-23.4425,-58.4438,2020-01-25,0,0,0,0,Americas
,Peru,-9.19,-75.0152,2020-01-25,0,0,0,0,Americas
,Saint Lucia,13.9094,-60.9789,2020-01-25,0,0,0,0,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-25,0,0,0,0,Americas
,Suriname,3.9193,-56.0278,2020-01-25,0,0,0,0,Americas
,Trinidad and Tobago,10.6918,-61.2225,2020-01-25,0,0,0,0,Americas
,Uruguay,-32.5228,-55.7658,2020-01-25,0,0,0,0,Americas
,US,40.0,-100.0,2020-01-25,2,0,0,2,Americas
,Venezuela,6.4238,-66.5897,2020-01-25,0,0,0,0,Americas
,Dominica,15.415,-61.371,2020-01-25,0,0,0,0,Americas
,Grenada,12.1165,-61.678999999999995,2020-01-25,0,0,0,0,Americas
,Belize,17.1899,-88.4976,2020-01-25,0,0,0,0,Americas
,Saint Kitts and Nevis,17.357822,-62.782998,2020-01-25,0,0,0,0,Americas
Northwest Territories,Canada,64.8255,-124.8457,2020-01-25,0,0,0,0,Americas
Yukon,Canada,64.2823,-135.0,2020-01-25,0,0,0,0,Americas
,Antigua and Barbuda,17.0608,-61.7964,2020-01-26,0,0,0,0,Americas
,Argentina,-38.4161,-63.6167,2020-01-26,0,0,0,0,Americas
,Bahamas,25.025885,-78.035889,2020-01-26,0,0,0,0,Americas
,Barbados,13.1939,-59.5432,2020-01-26,0,0,0,0,Americas
,Bolivia,-16.2902,-63.5887,2020-01-26,0,0,0,0,Americas
,Brazil,-14.235,-51.9253,2020-01-26,0,0,0,0,Americas
Alberta,Canada,53.9333,-116.5765,2020-01-26,0,0,0,0,Americas
British Columbia,Canada,53.7267,-127.6476,2020-01-26,0,0,0,0,Americas
Manitoba,Canada,53.7609,-98.8139,2020-01-26,0,0,0,0,Americas
New Brunswick,Canada,46.5653,-66.4619,2020-01-26,0,0,0,0,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-26,0,0,0,0,Americas
Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-26,0,0,0,0,Americas
Ontario,Canada,51.2538,-85.3232,2020-01-26,1,0,0,1,Americas
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-26,0,0,0,0,Americas
Quebec,Canada,52.9399,-73.5491,2020-01-26,0,0,0,0,Americas
Saskatchewan,Canada,52.9399,-106.4509,2020-01-26,0,0,0,0,Americas
,Chile,-35.6751,-71.543,2020-01-26,0,0,0,0,Americas
,Colombia,4.5709,-74.2973,2020-01-26,0,0,0,0,Americas
,Costa Rica,9.7489,-83.7534,2020-01-26,0,0,0,0,Americas
,Cuba,21.521757,-77.78116700000002,2020-01-26,0,0,0,0,Americas
,Dominican Republic,18.7357,-70.1627,2020-01-26,0,0,0,0,Americas
,Ecuador,-1.8312,-78.1834,2020-01-26,0,0,0,0,Americas
,El Salvador,13.7942,-88.8965,2020-01-26,0,0,0,0,Americas
,Guatemala,15.7835,-90.2308,2020-01-26,0,0,0,0,Americas
